;Well;Fluor;Target;Content;Sample;Cq;SQ;
;C02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,85350612;;
;C03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,13074022;;
;C04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;25,70006716;;
;C05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;36,00782732;;
;C06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,11950648;;
;C07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;25,89134317;;
;C08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;21,29696513;;
;C09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;C10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;36,19280144;;
;C11;FAM;Tbp;NTC;NT;;;
;D01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;29,10411857;;
;D02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,22972874;;
;D03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,22435584;;
;D04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;25,75810273;;
;D05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;36,99684743;;
;D06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,19596978;;
;D07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;26,00514819;;
;D08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;21,17407137;;
;D09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;38,39242003;;
;D10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;35,48893423;;
;D11;FAM;Il6;NTC;;;;
;E01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;E02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;E03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;E04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;38,85539756;;
;E05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;E06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;38,02514274;;
;E07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,3339992;;
;E08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;27,96592188;;
;E09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;E10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;E11;FAM;Il8;NTC;NT;;;
;F01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;F02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;38,52305424;;
;F03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;F04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;35,36491354;;
;F05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;F06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;36,16961808;;
;F07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,80409735;;
;F08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;28,01218382;;
;F09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;F10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;F11;FAM;Runx2;NTC;NT;;;
;G01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;28,2572655;;
;G02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,30278982;;
;G03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,10155109;;
;G04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,97203431;;
;G05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;38,73023487;;
;G06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,76947223;;
;G07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;24,14460681;;
;G08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;20,84540318;;
;G09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;37,59367257;;
;G10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;34,54574166;;
;G11;FAM;Sparc;NTC;NT;;;
;H01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;28,15149557;;
;H02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,29296802;;
;H03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,33799232;;
;H04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,35809638;;
;H05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;39,54960355;;
;H06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,01471056;;
;H07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;24,21929562;;
;H08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;20,84646365;;
;H09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;39,17109039;;
;H10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;34,58179131;;
;H11;FAM;Spp1;NTC;NT;;;
