;Well;Fluor;Target;Content;Sample;Cq;SQ;
;C04;FAM;Col3a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,06883044;;
;C05;FAM;Col1a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;33,47588673;;
;C06;FAM;Tlr3;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,52991937;;
;C07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,85537473;;
;C08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,00550056;;
;C09;FAM;Bmp4;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,47661397;;
;C10;FAM;Il1-�;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;C11;FAM;Tbp;NTC;NT;;;
;D01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,00646852;;
;D02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;33,37675735;;
;D03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,88132172;;
;D04;FAM;Col3a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,12173496;;
;D05;FAM;Col1a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;33,94651819;;
;D06;FAM;Tlr3;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,23659921;;
;D07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,88230097;;
;D08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,76837571;;
;D09;FAM;Bmp4;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,56320973;;
;D10;FAM;Il1-�;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;D11;FAM;Col3a1;NTC;NT;;;
;E01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;E02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;E03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;E04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;E05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;37,24736131;;
;E06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;E07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;37,77853308;;
;E08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;34,22913657;;
;E09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;36,0054126;;
;E10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;E11;FAM;Col1a1;NTC;NT;;;
;F01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;F02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;F03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;F04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;F05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;37,00362746;;
;F06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;F07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;37,73133084;;
;F08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;34,13087625;;
;F09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;36,93660043;;
;F10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;F11;FAM;Tlr3;NTC;NT;;;
;G01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,34088997;;
;G02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,05720586;;
;G03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,94672287;;
;G04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,14543318;;
;G05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,20185981;;
;G06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;G07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,35309924;;
;G08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,67602606;;
;G09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,5253822;;
;G10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;G11;FAM;Ddx58/Rig-I;NTC;NT;;;
;H01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,3556022;;
;H02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,10475048;;
;H03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,94490741;;
;H04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,27782258;;
;H05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,19919736;;
;H06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;H07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,3927894;;
;H08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,75122288;;
;H09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,35382589;;
;H10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;H11;FAM;Ifih-1/Mda5;NTC;NT;;;
;;;;;;;;
