;Well;Fluor;Target;Content;Sample;Cq;SQ;
;G01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,21419756;;
;G02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,36824343;;
;G03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,61657663;;
;G04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;33,25472782;;
;G05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;36,62433344;;
;G06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,53021684;;
;G07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;22,15063925;;
;G08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,09527354;;
;G09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;35,28238645;;
;G10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;35,41847759;;
;G11;FAM;Sparc;Unkn;NT;;;
;H01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,36613124;;
;H02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,48161224;;
;H03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,84259772;;
;H04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;33,08723591;;
;H05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;36,4992425;;
;H06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,4609726;;
;H07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;22,21512775;;
;H08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,06356931;;
;H09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;35,27763413;;
;H10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;34,90831364;;
;H11;FAM;Spp1;Unkn;NT;;;
