;Well;Fluor;Target;Content;Sample;Cq;SQ;
;B08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;27,59251894;;
;B09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;B10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;38,28108777;;
;B11;FAM;Pum1;NTC;NT;;;
;B12;FAM;Bmp2;NTC;NT;;;
;C01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;28,91827501;;
;C02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;33,1394669;;
;C03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;32,35430894;;
;C04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;23,51951786;;
;C05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;35,40694128;;
;C06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;32,17899821;;
;C07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;27,20199808;;
;C08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;20,91515491;;
;C09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;C10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;33,75909672;;
;C11;FAM;Tbp;NTC;NT;;;
;D01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;29,0164196;;
;D02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;32,7902136;;
;D03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;32,67184375;;
;D04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;23,48354936;;
;D05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;37,08541817;;
;D06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;32,2155637;;
;D07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;27,2064308;;
;D08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;21,01980481;;
;D09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;39,2877822;;
;D10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;34,5951039;;
;D11;FAM;Il6;NTC;NT;;;
;E01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;31,18305863;;
;E02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;36,5878281;;
;E03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;36,43613943;;
;E04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;24,98384404;;
;E05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;E06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;34,25321705;;
;E07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;29,75932892;;
;E08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;23,7313301;;
;E09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;E10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;37,30589822;;
;E11;FAM;Il8;NTC;NT;;;
;F01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;31,40254366;;
;F02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;38,62308249;;
;F03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;37,21595726;;
;F04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;24,93826839;;
;F05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;38,4967531;;
;F06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;33,99437551;;
;F07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;29,89851849;;
;F08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;23,73542296;;
;F09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;F10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;37,25562929;;
;F11;FAM;Runx2;NTC;NT;;;
;G01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;28,79950534;;
;G02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,34709199;;
;G03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,19228682;;
;G04;FAM;Il6;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;23,63554436;;
;G05;FAM;Il8;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;36,44483502;;
;G06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,3702255;;
;G07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;26,2915029;;
;G08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;20,73482208;;
;G09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;;;
;G10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;33,03771119;;
;G11;FAM;Sparc;NTC;NT;;;
;H01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;28,96075641;;
;H02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;33,03823817;;
;H03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,13616709;;
;H04;FAM;Il6;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;23,65673175;;
;H05;FAM;Il8;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;36,47206078;;
;H06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;32,5914101;;
;H07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;26,32068131;;
;H08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;20,77155802;;
;H09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;38,20297858;;
;H10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 3µg/ml poly IC;33,32511663;;
;H11;FAM;Spp1;NTC;NT;;;
;;;;;;;;
