;Well;Fluor;Target;Content;Sample;Cq;SQ;;;;;;;;
;D06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;D07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,20474896;;;;;;;;;
;D08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,05447237;;;;;;;;;
;D09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,36230677;;;;;;;;;
;D10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;D11;FAM;Col3a1;Unkn;NT;;;;;;;;;;
;E01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,80321747;;;;;;;;;
;E02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,49545318;;;;;;;;;
;E03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,29935576;;;;;;;;;
;E04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,39452361;;;;;;;;;
;E05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,05037684;;;;;;;;;
;E06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;E07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,56626289;;;;;;;;;
;E08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,51698566;;;;;;;;;
;E09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,70675782;;;;;;;;;
;E10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;E11;FAM;Col1a1;Unkn;NT;;;;;;;;;;
;F01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,13248538;;;;;;;;;
;F02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,48615241;;;;;;;;;
;F03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,21545664;;;;;;;;;
;F04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,35101612;;;;;;;;;
;F05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;25,97428494;;;;;;;;;
;F06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;F07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,53847041;;;;;;;;;
;F08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,27120955;;;;;;;;; 
;F09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,57988407;;;;;;;;;
;F10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;F11;FAM;Tlr3;Unkn;NT;;;;;;;;;;
;G01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,81674106;;;;;;;;;
;G02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,96313621;;;;;;;;;
;G03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,33318814;;;;;;;;;
;G04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,91610286;;;;;;;;;
;G05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,81636233;;;;;;;;;
;G06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;G07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,59936156;;;;;;;;;
;G08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,3172517;;;;;;;;;
;G09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,9355292;;;;;;;;;
;G10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;G11;FAM;Ddx58/Rig-I;Unkn;NT;;;;;;;;;;
;H01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,9549162;;;;;;;;;
;H02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,0602336;;;;;;;;;
;H03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,27509814;;;;;;;;;
;H04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,82755187;;;;;;;;;
;H05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;26,69868363;;;;;;;;;
;H06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;H07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,6590061;;;;;;;;;
;H08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;27,37180523;;;;;;;;;
;H09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,9907906;;;;;;;;;
;H10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;;;;;;;;;
;H11;FAM;Ifih-1/Mda5;Unkn;NT;;;;;;;;;;
