;Well;Fluor;Target;Content;Sample;Cq;SQ;
;D12;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,85790809;;
;E01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,91447615;;
;E02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,00289817;;
;E03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,76451405;;
;E04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,53951468;;
;E05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;35,97535571;;
;E06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,588509;;
;E07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,28306086;;
;E08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,40427653;;
;E09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;38,72476287;;
;E10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;E11;FAM;Il8;NTC;NT;;;
;E12;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,24656431;;
;F01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,07708812;;
;F02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,60106387;;
;F03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,74163055;;
;F04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,43969904;;
;F05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;37,58717745;;
;F06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,55588365;;
;F07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,40504296;;
;F08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,28585211;;
;F09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;F10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;34,66312368;;
;F11;FAM;Runx2;NTC;NT;;;
;F12;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;36,19753236;;
;G01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,38941449;;
;G02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;34,47534717;;
;G03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;34,65744057;;
;G04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;26,33841884;;
;G05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;39,06899574;;
;G06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,16912239;;
;G07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;27,50090851;;
;G08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;23,2658934;;
;G09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;G10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;38,17202196;;
;G11;FAM;Sparc;NTC;NT;;;
;G12;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,679639;;
;H01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,36482356;;
;H02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;35,46622624;;
;H03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;34,93070476;;
;H04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;26,35114132;;
;H05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;37,41832333;;
;H06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;32,3945298;;
;H07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;27,64418047;;
;H08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;23,19186827;;
;H09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;;;
;H10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;37,50097494;;
;H11;FAM;Spp1;NTC;NT;;;
;;;;;;;;
