;Well;Fluor;Target;Content;Sample;Cq;SQ;
;D09;FAM;Bmp4;Unkn;WT young 50nM CUCPT4a;31,05964245;;
;D10;FAM;Il1-�;Unkn;WT young 50nM CUCPT4a;;;
;D11;FAM;Tlr 3 Ex 4-5;Unkn;WT young 50nM CUCPT4a;32,99230493;;
;E01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;29,90503371;;
;E02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;31,13223467;;
;E03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,68184112;;
;E04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- control;29,14566345;;
;E05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- control;27,71085374;;
;E06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- control;;;
;E07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- control;31,01347838;;
;E08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- control;31,6732218;;
;E09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- control;29,83045469;;
;E10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- control;;;
;E11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- control;;;
;F01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;30,05488753;;
;F02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;31,2689418;;
;F03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;31,83862985;;
;F04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- control;29,16614751;;
;F05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- control;27,78577938;;
;F06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- control;;;
;F07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- control;31,13912206;;
;F08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- control;31,82373649;;
;F09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- control;29,68423858;;
;F10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- control;;;
;F11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- control;;;
;G01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;30,06568852;;
;G02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;32,91116507;;
;G03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;32,83558113;;
;G04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;30,08954904;;
;G05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;30,48733958;;
;G06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;;;
;G07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;32,21626598;;
;G08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;32,21126523;;
;G09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;30,96761571;;
;G10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;;;
;G11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;;;
;H01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;30,05806049;;
;H02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;32,95274758;;
;H03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;32,85295302;;
;H04;FAM;Col3a1;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;30,07543981;;
;H05;FAM;Col1a1;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;30,5032332;;
;H06;FAM;Tlr3 Ex 3-4;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;;;
;H07;FAM;Ddx58/Rig-I;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;32,16899567;;
;H08;FAM;Ifih-1/Mda5;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;32,16393385;;
;H09;FAM;Bmp4;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;30,73521271;;
;H10;FAM;Il1-�;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;;;
;H11;FAM;Tlr 3 Ex 4-5;Unkn;Leiden Tlr 3 -/- 2.5 µg/ml polyIC;;;
